"iso2_o","iso2_d","year","p"
"GR","AD",2017,0.0001
"HR","AD",2001,1.0
"HR","AD",2002,0.4936
"HR","AD",2003,0.902
"HR","AD",2004,0.9383
"HR","AD",2005,0.881
"HR","AD",2006,0.9923
"HR","AD",2007,0.9521
"HR","AD",2008,0.4192
"HR","AD",2009,0.9703
"HR","AD",2010,0.9165
"HR","AD",2011,0.957
"HR","AD",2012,0.8798
"HR","AD",2013,0.9232
"HR","AD",2014,0.9809
"HR","AD",2015,0.2894
"HR","AD",2016,0.845
"HR","AD",2017,0.9267
"HU","AD",2001,0.017
"HU","AD",2002,0.8584
"HU","AD",2003,0.554
"HU","AD",2004,0.9482
"HU","AD",2005,0.8994
"HU","AD",2006,0.576
"HU","AD",2007,0.7775
"HU","AD",2008,0.9306
"HU","AD",2009,0.8861
"HU","AD",2010,0.9291
"HU","AD",2011,0.7669
"HU","AD",2012,0.4803
"HU","AD",2013,0.999
"HU","AD",2014,0.9898
"HU","AD",2015,0.9744
"HU","AD",2016,0.9194
"HU","AD",2017,0.7484
"IE","AD",2001,0.0
"IE","AD",2002,0.0
"IE","AD",2003,0.0189
"IE","AD",2004,0.2405
"IE","AD",2005,0.0001
"IE","AD",2006,0.0027
"IE","AD",2007,0.5518
"IE","AD",2008,0.5541
"IE","AD",2009,0.558
"IE","AD",2010,0.1448
"IE","AD",2011,0.2578
"IE","AD",2012,0.0093
"IE","AD",2013,0.1142
"IE","AD",2014,0.0161
"IE","AD",2015,0.7762
"IE","AD",2016,0.0059
"IE","AD",2017,0.0851
"IT","AD",2001,0.0891
"IT","AD",2002,0.0964
"IT","AD",2003,0.1051
"IT","AD",2004,0.4288
"IT","AD",2005,0.0791
"IT","AD",2006,0.1817
"IT","AD",2007,0.0266
"IT","AD",2008,0.194
"IT","AD",2009,0.113
"IT","AD",2010,0.1674
"IT","AD",2011,0.1109
"IT","AD",2012,0.0606
"IT","AD",2013,0.1447
"IT","AD",2014,0.2794
"IT","AD",2015,0.2253
"IT","AD",2016,0.3121
"IT","AD",2017,0.4914
"LT","AD",2001,0.7797
"LT","AD",2002,0.3318
"LT","AD",2003,0.937
"LT","AD",2004,0.6982
"LT","AD",2007,1.0
"LT","AD",2008,1.0
"LT","AD",2011,0.9414
"LT","AD",2012,0.6585
"LT","AD",2013,0.0669
"LT","AD",2014,0.9498
"LT","AD",2015,0.294
"LT","AD",2016,0.0
"LT","AD",2017,0.0102
"LU","AD",2001,0.0042
"LU","AD",2002,0.0053
"LU","AD",2003,0.004
"LU","AD",2004,0.0042
"LU","AD",2005,0.0159
"LU","AD",2006,0.0073
"LU","AD",2007,0.0026
"LU","AD",2008,0.1362
"LU","AD",2009,0.0442
"LU","AD",2010,0.0
"LU","AD",2011,0.0
"LU","AD",2012,0.0
"LU","AD",2013,0.0
"LU","AD",2014,0.0
"LU","AD",2015,0.0
"LU","AD",2016,0.0
"LU","AD",2017,0.0
"LV","AD",2001,0.8411
"LV","AD",2002,0.8952
"LV","AD",2003,0.4004
"LV","AD",2004,0.6033
"LV","AD",2005,0.1112
"LV","AD",2006,0.9775
"LV","AD",2007,0.8258
"LV","AD",2008,0.7673
"LV","AD",2010,0.0
"LV","AD",2011,0.9963
"LV","AD",2012,0.7389
"LV","AD",2013,0.0198
"LV","AD",2014,0.2276
"LV","AD",2015,0.0738
"LV","AD",2016,0.953
